"Q35_ERP"	"Q40_TAA"	"Q36_ITcount"	"Q37_ITassist"	"Q38_Taxcount"	"Q39_TAAexpert"	"Q26"	"Q27"	"Q29"	"Q41"	"init_composite"	"rout_composite"	"integrate_composite"	"manag_composite"	"comp_composite"	"gov_composite"	"adoption_score"	"TAA_capability"	"Domestic_International"	"Q26_num"	"Q29_num"	"Q41_num"
1	0	3	1	23	1	6	2	1	1	-1.54135552628821	-0.936769424198182	2.37869143448253	-0.864009511699149	-0.0580529671344864	-0.196564902730659	-1.24674138333462	-0.122437164771579	1	115000	"0.00"	0
1	1	2	0	23	2.5	6	2	1	1	0.0756069943504167	-0.923504712080757	-0.182119052040334	2.75943724533619	0.961745703704418	-2.9542482363538	0.87271896833423	-0.391009010076986	1	9000	"0.02"	0
1	1	3	3	40	10	6	3	4	3	0.578462504106474	0.0819072265308103	-0.182119052040334	0.0495203496472418	-0.941383096526445	1.63342053467954	-0.540254599445	1.75756575236624	1	25000	"0.33"	0.25
1	1	3	0	12	2	6	3	6	6	0.646236314866027	-0.0380241485675266	-0.757555736513889	-0.480496877727915	-0.94138226730138	0.752751250422165	0.166232184444613	0.146134680533821	1	28000	"0.58"	0.65
1	1	NA	1	100	2	6	3	6	NA	0.325504466586478	-0.923504712080757	-0.757555861872187	-0.480495218338128	-0.941381481155177	1.63341905175798	0.87271896833423	0.683278371144627	1	90000	"0.67"	NA
1	1	3	1	200	40	6	3	4	4	0.251212546987862	-0.923504712080757	-0.537219040556288	-0.168882258217103	-0.941383156296467	-1.13853876219125	-0.540254599445	0.146134680533821	1	60000	"0.30"	0.3
1	1	0	2	55	2	6	3	3	1	0.185433730955498	1.27263266985307	2.37869143448253	4.16091476878344	1.84507465883519	-1.42981345094554	1.57920575222385	0.414706525839227	1	15000	"0.20"	0.01
0	0	2	1	19	1	6	2	2	2	0.512683353456136	-0.923504712080757	-0.757555861872187	-0.545224688900394	-0.941381481155177	1.56253964986927	-1.24674138333462	-1.19672454599319	1	5600	"0.14"	0.1
0	0	2	1	15	4	6	3	2	2	0.270999320975084	-0.923504712080757	-0.537219040556288	-0.480495218338128	0.877686624672763	1.20186539161032	-0.540254599445	-0.122437164771579	1	26000	"0.08"	0.08
1	0	3	3	45	3	6	3	6	NA	0.448541076721957	-0.0380241485675266	-0.757555861872187	0.049522074553823	-0.941383156296467	0.454635042767681	0.87271896833423	0.683278371144627	1	70000	"0.55"	NA
1	0	0	3	30	14	6	3	6	6	-0.40380702867452	0.475857752389177	-0.537219040556288	0.049522074553823	0.877686736979363	0.838583292248096	-0.540254599445	-0.391009010076986	1	16000	"0.60"	0.6
NA	1	3	1	40	3	6	3	6	6	0.516314038560759	0.373879093877603	-0.182119052040334	-0.552396885569178	-0.941383605522868	1.14542920366257	-0.540254599445	-1.19672454599319	1	60000	"0.55"	0.5
1	0	3	1	12	1	6	2	2	6	0.652754406202225	-1.17466439153011	-0.537219040556288	-0.545224420426134	1.84507465883519	0.612290973276647	-0.540254599445	0.414706525839227	1	20000	"0.10"	0.45
1	0	2	0	9	2	6	2	2	2	0.571942968973128	2.0790835718765	-0.537219040556288	0.049522074553823	-0.94138226730138	-0.762689947924486	-0.540254599445	-0.659580855382387	1	5700	"0.15"	0.15
1	1	2	1	13	8	6	3	3	3	0.512682758579739	4.1296389593982	3.56296652532406	2.85981774570263	-0.0580523317547383	0.849924087813186	-0.540254599445	2.02613759767165	1	26000	"0.25"	0.25
1	0	2	1	6	2	5	3	3	3	-0.0208579309537201	-0.0380241485675266	-0.402455873356234	-0.545224420426134	1.84507465883519	0.0306501183857597	-0.540254599445	-0.659580855382387	1	2700	"0.20"	0.2
1	0	2	1	23	1	6	2	NA	NA	0.652755001078622	0.234394140503914	-0.757555736513889	-0.54522536396109	0.877687073899164	-0.408056889063718	-0.540254599445	-1.19672454599319	1	30000	""	NA
1	1	3	1	20	1	6	3	6	6	0.318985526329529	-0.0512888606849513	-0.757555861872187	-0.864008902155247	0.877686624672763	-1.46229614559066	-0.540254599445	1.75756575236624	1	40000	"0.60"	0.6
1	0	3	2	3	3	5	1	1	1	-2.4642039891503	0.595789152979797	2.37869143448253	0.106787838190806	-0.0580533040542876	-1.05302781749421	0.87271896833423	-0.122437164771579	0	4400	"0.01"	0
1	0	3	0	18	1	6	1	1	3	0.270682887184991	-1.1614091641652	-0.537219040556288	-0.709025185093813	-0.0580545009670377	-0.567728187145046	0.87271896833423	-0.122437164771579	0	12000	"0.00"	0.2
1	1	0	1	27	3	6	1	1	1	-5.4287102743722	-0.409622811124053	-0.537219040556288	-0.545224688900394	-0.0580523317547383	-0.965328707663716	1.57920575222385	2.02613759767165	0	30000	"0.00"	0
0	0	NA	NA	2	0	NA	2	NA	NA	-0.251642956554125	-0.923504712080757	-0.757555736513889	2.45945651766477	0.909335702407694	-0.024175219902702	-0.540254599445	-1.19672454599319	0	NA	""	NA
1	1	2	2	30	5	6	2	2	1	0.270999575019438	1.92260429931347	-0.182119052040334	1.23976747223754	-0.0580518825283367	1.11342374090084	-0.540254599445	-0.391009010076986	1	8700	"0.10"	0.05
1	0	3	0	10	0	5	1	1	1	0.652755255122976	-1.41256884361455	-0.757555736513889	-0.114278431978209	0.0260055730157352	-2.9542482363538	-1.24674138333462	-1.19672454599319	0	2100	"0.00"	0.05
1	0	3	1	23	0	6	2	1	1	0.646236193763119	-0.923504712080757	-0.757555861872187	-0.864009845690203	-0.941383605522868	0.280626374369143	-0.540254599445	-0.122437164771579	1	18000	"0.02"	0.01
1	0	3	2	19	4	6	1	1	2	-1.00251322128656	0.475857752389177	-0.182119052040334	-0.114278431978209	-0.941383605522868	-0.103255009933145	0.87271896833423	2.29470944297705	0	9500	"0.00"	0.1
1	0	0	0	40	8	NA	3	3	NA	0.57846216327443	0.595789127487514	-0.537219040556288	1.21296317787713	-0.941382259185064	-0.218107546222885	2.99217932000308	1.48899390706084	1	NA	"0.17"	NA
NA	NA	0	0	30	2	6	2	NA	NA	-0.0562508788990857	-0.923504675939295	-0.757555861872187	-0.864009379092031	0.909333533195394	-0.218107546222885	-1.24674138333462	-1.19672454599319	0	7900	""	NA
0	0	3	0	6	5	5	3	6	4	-3.47292609947225	-1.41256884361455	-0.757555736513889	2.75943724533619	-0.941383156296467	-0.0780020838256319	0.166232184444613	-1.19672454599319	1	5000	"0.50"	0.3
NA	1	NA	NA	21	4	6	2	NA	NA	-0.436386794758015	-0.923504675939295	-0.182119052040334	-0.161712044590547	-0.780151615800722	0.806577829486366	-0.540254599445	-0.122437164771579	1	15000	""	NA
1	1	3	1	40	10	6	3	5	NA	-0.299946637045703	0.253947718779266	-0.757555736513889	-0.306224834745247	-0.94138226730138	0.280626374369143	-0.540254599445	1.22042206175543	1	40000	"0.40"	NA
1	0	2	1	12	5	4	3	5	4	0.652754740820198	0.0819072265308103	0.949947749781374	-0.306223109838666	-0.00564242011304634	0.76148123904088	0.87271896833423	0.683278371144627	1	1000	"0.40"	0.3
1	0	2	2	20	3	6	3	4	4	0.57846224384805	0.410426158521739	2.37869143448253	-0.54522536396109	-0.941383156296467	0.314728339443571	1.57920575222385	1.22042206175543	1	38000	"0.30"	0.3
1	0	2	1	12	6	6	3	4	NA	-0.0543146367491842	0.410426158521739	-0.537219040556288	-0.11427857492394	1.84507465883519	0.784756143466438	0.87271896833423	0.146134680533821	1	11000	"0.30"	NA
1	0	3	0	50	5	6	3	6	6	0.652754994864552	0.0819072265308103	-0.182119052040334	-0.114278431978209	1.84507465883519	0.80266720043174	-0.540254599445	0.146134680533821	1	50000	"0.50"	0.65
NA	1	3	0	85	5	6	3	3	NA	0.506164072367144	-0.923504712080757	0.324967844522841	-0.121742347366017	0.877686736979363	1.25569225553325	0.87271896833423	1.75756575236624	1	53000	"0.25"	NA
NA	0	3	0	22	0	5	2	2	2	-1.46370675268606	-0.936769424198182	-0.537219040556288	-0.864008902155247	1.84507465883519	-1.1785767949885	-1.24674138333462	-0.659580855382387	NA	4700	"0.10"	0.1
1	0	3	0	19	19	6	1	1	1	-0.68297532635	0.475857752389177	-0.757555736513888	-0.390240713703314	0.909334617801544	1.08168507005626	0.87271896833423	-0.928152700687789	0	15000	"0.02"	0
1	0	2	2	4	2	6	3	5	5	0.652755255122976	0.410426991342299	0.949947749781374	-0.864009988635933	1.84507465883519	-0.55825253451916	0.87271896833423	0.146134680533821	1	50000	"0.40"	0.4
1	0	2	1	15	3.5	6	3	3	3	0.652755001078622	0.595789127487514	-0.537219040556288	0.049522074553823	0.877687073899164	-1.05302781749421	0.87271896833423	0.683278371144627	1	26000	"0.16"	0.16
1	0	2	1	11	3	5	2	2	2	-0.0185781361617612	1.92260429931347	0.104631148565241	-0.269262758583545	0.909335702407694	-0.737755100950368	-0.540254599445	-1.19672454599319	1	5000	"0.10"	0.1
1	0	2	1	14	0	4	1	1	1	-0.889372447888424	-0.36852372293613	0.104631148565241	-0.161710051209706	-0.941383545752847	-0.572647623791209	1.57920575222385	0.683278371144627	0	800	"0.00"	0
1	0	NA	0	17	0	6	3	6	NA	0.336778350522514	-0.0380241740598091	-0.537219040556288	1.36794736153673	-0.941381593461777	-0.024175219902702	-1.24674138333462	-1.19672454599319	1	8000	"0.60"	NA
1	1	3	1	30	3.5	NA	NA	NA	NA	0.506164413199187	0.595789127487514	-0.402455873356234	-0.161712044590547	-0.941383156296467	-0.0459969059226301	0.87271896833423	1.22042206175543	1	NA	""	NA
1	0	3	0	6	0	NA	2	3	3	0.652755001078622	0.0819072265308103	-0.757555861872187	-0.864009845690203	-0.0580540517406361	0.632569445946557	-0.540254599445	-1.19672454599319	1	NA	"0.20"	0.2
0	0	0	0	44	4	6	2	2	2	0.652755255122976	0.068642478271924	-0.537219040556288	-0.480494741401343	1.84507465883519	-1.1785767949885	0.87271896833423	-1.19672454599319	1	250000	"0.10"	0.1
1	0	1	1	6	3	5	3	6	6	0.652755255122976	-0.0380241124260649	-0.537219040556288	-0.545224688900394	-0.941380539760242	-0.63527390242563	-1.24674138333462	-0.122437164771579	1	4600	"0.46"	0.5
