Q5_1	Q5_2	Q5_3	Q5_4	Q5_5	Q5_6	Q6box_1	Q6box_2	Q6box_3	Q6box_4	Q6_score	Q10_1	Q10_2	Q10_3	Q10_4	Q35_ERP	Q40_TAA	Q36_ITcount	Q37_ITassist	Q38_Taxcount	Q39_TAAexpert	Q22_box1	Q22_box2	Q22_box3	Q22_box4	Q22_box5	Q22_box6	Q22_box7	Q22_box8	Q22_box9	Q22_box10	Q23_1	Q23_2	Q26	Q24_box1	Q24_box2	Q24_box3	Q24_box4	Q27	Q29	Q41	Q30_1	Q30_2	Q30_3	Q30_4	Q31_1	Q31_2	Q31_3	Q32_1	Q32_2	Q32_3	Q32_4	Q42	Q45	Q43	Q44
6	6	6	6	6	6				4		2	2	1	1	1	0	3	1	23	1	1		3	4							4	4	6				4	2	1	1	5	4	4		3	5	1	2	6	3	6	1	30	CFO	
1	5	5	5	5	5	1			4	2	3	3	1	1	1	1	2	0	23	2.5	1	2		4							3	3	6				4	2	1	1	1	1	3		5	1	5	1	1	1	1	1	15	CFO	"Vice President, Corporate Tax"
4	4	4	5	5	5		2		4	3	3	3	3	3	1	1	3	3	40	10	1	2	3	4	5		7				3	3	6		2	3	4	3	4	3	3	2	2		3	4	3	4	4	5	5	4	0.33	CFO	EVP of Tax
5	5	4	5	4	5	1	2			3	3	3	2	2	1	1	3	0	12	2	1				5	6					1	1	6		2	3	4	3	6	6	4	2	4		4	4	4	4	4	3	3	3	1	CFO	"SVP, Global Taxes"
5	2	3	5	5	5	1			4	2	3	3	1	1	1	1		1	100	2	1	2	3		5					10	2	1	6		2	3	4	3	6		4	3	5		1	4	4	5	5	5	5	4	2	CFO	VP-Tax and Real Estate
4	1	3	5	5	5	1		3		3	3	3	1	1	1	1	3	1	200	40	1	2	3		5						3	2	6		2	3	4	3	4	4	3	3	4	4	3	3	3	3	2	3	1	3	0.92	CFO	N/A
3	1	5	5	5	5					2	5	4	3	3	1	1	0	2	55	2	1		3				7				4	4	6				4	3	3	1	1	1	1	5	5	5	5	3	1	1	3	4	13	CFO	Executive VP and General Tax Counsel
3	4	4	5	5	5	1					3	3	1	1	0	0	2	1	19	1	1										2	1	6				4	2	2	2	4	5	3		1	4	4	4	4	5	4	3	1.25	CFO	(my position)
3	4	4	4	3	5	1	2			1	3	3	1	1	0	0	2	1	15	4	1						7				3	1	6		2	3	4	3	2	2	4	3	5		2	5	5	5	5	5	3	3	7	CFO	VP of Tax
4	3	4	4	5	5	1				2	3	3	2	2	1	0	3	3	45	3	1	2			5		7				2	2	6				4	3	6		3	3	3		3	3	3	5	3	3	6	3	2.5	CFO	"SVP, Tax"
