"Q5_1"	"Q5_2"	"Q5_3"	"Q5_4"	"Q5_5"	"Q5_6"	"Q6box_1"	"Q6box_2"	"Q6box_3"	"Q6box_4"	"Q6_score"	"Q10_1"	"Q10_2"	"Q10_3"	"Q10_4"	"Q35_ERP"	"Q40_TAA"	"Q36_ITcount"	"Q37_ITassist"	"Q38_Taxcount"	"Q39_TAAexpert"	"Q22_box1"	"Q22_box2"	"Q22_box3"	"Q22_box4"	"Q22_box5"	"Q22_box6"	"Q22_box7"	"Q22_box8"	"Q22_box9"	"Q22_box10"	"Q23_1"	"Q23_2"	"Q26"	"Q24_box1"	"Q24_box2"	"Q24_box3"	"Q24_box4"	"Q27"	"Q29"	"Q41"	"Q30_1"	"Q30_2"	"Q30_3"	"Q30_4"	"Q31_1"	"Q31_2"	"Q31_3"	"Q32_1"	"Q32_2"	"Q32_3"	"Q32_4"	"Q42"	"Q45"	"Q43"	"Q44"	"init_composite"	"rout_composite"	"integrate_composite"	"manag_composite"	"comp_composite"	"gov_composite"
"1"	6	6	6	6	6	6	NA	NA	NA	4	NA	2	2	1	1	1	0	3	1	23	1	1	NA	3	4	NA	NA	NA	NA	NA	NA	4	4	6	NA	NA	NA	4	2	1	1	5	4	4	NA	3	5	1	2	6	3	6	1	30	"CFO"	""	-1.54135552628821	-0.936769424198182	2.37869143448253	-0.864009511699149	-0.0580529671344864	-0.196564902730659
"2"	1	5	5	5	5	5	1	NA	NA	4	2	3	3	1	1	1	1	2	0	23	2.5	1	2	NA	4	NA	NA	NA	NA	NA	NA	3	3	6	NA	NA	NA	4	2	1	1	1	1	3	NA	5	1	5	1	1	1	1	1	15	"CFO"	"Vice President, Corporate Tax"	0.0756069943504167	-0.923504712080757	-0.182119052040334	2.75943724533619	0.961745703704418	-2.9542482363538
"3"	4	4	4	5	5	5	NA	2	NA	4	3	3	3	3	3	1	1	3	3	40	10	1	2	3	4	5	NA	7	NA	NA	NA	3	3	6	NA	2	3	4	3	4	3	3	2	2	NA	3	4	3	4	4	5	5	4	0.33	"CFO"	"EVP of Tax"	0.578462504106474	0.0819072265308103	-0.182119052040334	0.0495203496472418	-0.941383096526445	1.63342053467954
"4"	5	5	4	5	4	5	1	2	NA	NA	3	3	3	2	2	1	1	3	0	12	2	1	NA	NA	NA	5	6	NA	NA	NA	NA	1	1	6	NA	2	3	4	3	6	6	4	2	4	NA	4	4	4	4	4	3	3	3	1	"CFO"	"SVP, Global Taxes"	0.646236314866027	-0.0380241485675266	-0.757555736513889	-0.480496877727915	-0.94138226730138	0.752751250422165
"5"	5	2	3	5	5	5	1	NA	NA	4	2	3	3	1	1	1	1	NA	1	100	2	1	2	3	NA	5	NA	NA	NA	NA	10	2	1	6	NA	2	3	4	3	6	NA	4	3	5	NA	1	4	4	5	5	5	5	4	2	"CFO"	"VP-Tax and Real Estate"	0.325504466586478	-0.923504712080757	-0.757555861872187	-0.480495218338128	-0.941381481155177	1.63341905175798
"6"	4	1	3	5	5	5	1	NA	3	NA	3	3	3	1	1	1	1	3	1	200	40	1	2	3	NA	5	NA	NA	NA	NA	NA	3	2	6	NA	2	3	4	3	4	4	3	3	4	4	3	3	3	3	2	3	1	3	0.92	"CFO"	"N/A"	0.251212546987862	-0.923504712080757	-0.537219040556288	-0.168882258217103	-0.941383156296467	-1.13853876219125
"7"	3	1	5	5	5	5	NA	NA	NA	NA	2	5	4	3	3	1	1	0	2	55	2	1	NA	3	NA	NA	NA	7	NA	NA	NA	4	4	6	NA	NA	NA	4	3	3	1	1	1	1	5	5	5	5	3	1	1	3	4	13	"CFO"	"Executive VP and General Tax Counsel"	0.185433730955498	1.27263266985307	2.37869143448253	4.16091476878344	1.84507465883519	-1.42981345094554
"8"	3	4	4	5	5	5	1	NA	NA	NA	NA	3	3	1	1	0	0	2	1	19	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	6	NA	NA	NA	4	2	2	2	4	5	3	NA	1	4	4	4	4	5	4	3	1.25	"CFO"	"(my position)"	0.512683353456136	-0.923504712080757	-0.757555861872187	-0.545224688900394	-0.941381481155177	1.56253964986927
"9"	3	4	4	4	3	5	1	2	NA	NA	1	3	3	1	1	0	0	2	1	15	4	1	NA	NA	NA	NA	NA	7	NA	NA	NA	3	1	6	NA	2	3	4	3	2	2	4	3	5	NA	2	5	5	5	5	5	3	3	7	"CFO"	"VP of Tax"	0.270999320975084	-0.923504712080757	-0.537219040556288	-0.480495218338128	0.877686624672763	1.20186539161032
"10"	4	3	4	4	5	5	1	NA	NA	NA	2	3	3	2	2	1	0	3	3	45	3	1	2	NA	NA	5	NA	7	NA	NA	NA	2	2	6	NA	NA	NA	4	3	6	NA	3	3	3	NA	3	3	3	5	3	3	6	3	2.5	"CFO"	"SVP, Tax"	0.448541076721957	-0.0380241485675266	-0.757555861872187	0.049522074553823	-0.941383156296467	0.454635042767681
"11"	3	1	2	3	4	5	1	NA	NA	NA	1	4	4	2	2	1	0	0	3	30	14	1	2	3	NA	NA	NA	NA	NA	NA	NA	3	1	6	NA	2	3	4	3	6	6	3	3	3	NA	1	5	5	4	4	4	6	1	10	"CFO"	""	-0.40380702867452	0.475857752389177	-0.537219040556288	0.049522074553823	0.877686736979363	0.838583292248096
"12"	5	3	3	5	4	5	1	NA	NA	NA	1	4	3	3	3	NA	1	3	1	40	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	6	NA	NA	NA	4	3	6	6	3	4	4	4	2	3	3	4	4	4	4	3	16	"CFO"	"VP Tax"	0.516314038560759	0.373879093877603	-0.182119052040334	-0.552396885569178	-0.941383605522868	1.14542920366257
"13"	5	4	3	5	5	5	1	NA	NA	NA	1	1	3	1	1	1	0	3	1	12	1	1	2	3	NA	NA	6	NA	NA	NA	NA	3	1	6	NA	NA	NA	4	2	2	6	5	5	2	NA	5	5	5	5	5	5	1	1	3	"CAO"	""	0.652754406202225	-1.17466439153011	-0.537219040556288	-0.545224420426134	1.84507465883519	0.612290973276647
"14"	4	4	3	5	4	5	1	NA	NA	4	1	5	5	3	4	1	0	2	0	9	2	1	NA	3	NA	NA	NA	NA	NA	NA	NA	3	1	6	NA	2	3	4	2	2	2	3	3	3	NA	4	4	4	2	1	4	3	3	6	"Chief Financial Officer"	"Vice President of Global Tax"	0.571942968973128	2.0790835718765	-0.537219040556288	0.049522074553823	-0.94138226730138	-0.762689947924486
"15"	3	4	3	5	5	5	NA	NA	NA	4	3	5	5	5	5	1	1	2	1	13	8	1	2	3	4	5	6	NA	NA	NA	10	5	4	6	1	2	3	4	3	3	3	1	1	3	4	2	5	2	4	3	5	3	3	20	"CFO"	"VP Tax"	0.512682758579739	4.1296389593982	3.56296652532406	2.85981774570263	-0.0580523317547383	0.849924087813186
"16"	3	3	3	4	2	5	1	NA	NA	NA	1	3	3	2	2	1	0	2	1	6	2	1	NA	3	NA	NA	NA	NA	NA	NA	NA	2	3	5	1	2	3	4	3	3	3	5	5	2	NA	5	5	5	6	3	3	6	3	12	"Treasury"	"I am the head of the tax department"	-0.0208579309537201	-0.0380241485675266	-0.402455873356234	-0.545224420426134	1.84507465883519	0.0306501183857597
"17"	5	4	4	5	5	5	1	NA	NA	NA	1	2	3	6	6	1	0	2	1	23	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	6	NA	2	3	4	2	NA	NA	4	4	2	NA	3	5	5	3	3	2	6	3	3	"CFO"	"Sr. VP Corporate Tax"	0.652755001078622	0.234394140503914	-0.757555736513889	-0.54522536396109	0.877687073899164	-0.408056889063718
"18"	5	2	3	5	4	5	1	2	NA	NA	1	2	2	2	2	1	1	3	1	20	1	1	2	3	4	5	NA	7	NA	NA	NA	2	1	6	NA	NA	NA	4	3	6	6	5	5	5	NA	2	5	5	2	1	1	6	4	2	"Treasury"	"VP, Tax Administration"	0.318985526329529	-0.0512888606849513	-0.757555861872187	-0.864008902155247	0.877686624672763	-1.46229614559066
"19"	2	3	5	5	1	2	1	2	NA	NA	2	4	4	3	2	1	0	3	2	3	3	1	NA	3	4	NA	NA	NA	NA	NA	NA	4	4	5	NA	NA	3	NA	1	1	1	2	3	3	NA	1	5	1	3	2	2	2	3	6	"CFO"	"N/A"	-2.4642039891503	0.595789152979797	2.37869143448253	0.106787838190806	-0.0580533040542876	-1.05302781749421
"20"	5	5	2	4	4	5	1	NA	3	NA	2	3	1	1	1	1	0	3	0	18	1	1	NA	NA	NA	NA	NA	7	NA	NA	NA	3	1	6	NA	NA	3	NA	1	1	3	5	4	5	5	2	5	3	6	1	4	6	3	19	"Vice President of Finance (Not the CFO)"	"I am head of Tax - Corporate Tax Director"	0.270682887184991	-1.1614091641652	-0.537219040556288	-0.709025185093813	-0.0580545009670377	-0.567728187145046
"21"	2	2	2	1	1	1	1	NA	NA	NA	2	4	4	1	1	1	1	0	1	27	3	1	2	NA	NA	5	NA	7	8	NA	NA	3	2	6	1	NA	NA	NA	1	1	1	4	5	3	NA	2	5	2	2	2	2	6	3	3	"CFO"	"Senior VP of Tax"	-5.4287102743722	-0.409622811124053	-0.537219040556288	-0.545224688900394	-0.0580523317547383	-0.965328707663716
"22"	1	1	3	5	5	5	1	NA	NA	NA	1	3	3	1	1	0	0	NA	NA	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	3	NA	2	NA	NA	1	3	1	NA	5	5	2	3	3	3	6	3	2	"CFO"	""	-0.251642956554125	-0.923504712080757	-0.757555736513889	2.45945651766477	0.909335702407694	-0.024175219902702
"23"	3	5	4	5	3	5	NA	NA	NA	NA	1	5	5	2	2	1	1	2	2	30	5	1	2	NA	NA	5	NA	NA	NA	NA	NA	3	3	6	NA	NA	3	4	2	2	1	5	3	1	5	3	5	2	5	4	3	4	4	3	"CFO"	"VP of Tax"	0.270999575019438	1.92260429931347	-0.182119052040334	1.23976747223754	-0.0580518825283367	1.11342374090084
